open,close,high,low,volume,amount,absolute_price_oscillator,balance_of_power,cci,chande_momentum_oscillator,percentage_price_oscillator,macd,wr_6,rsi_6,stochastic_oscillator,tema,tr,atr
33626.03,33626.04,33707.1,30837.37,91057.347089,2118132,-3.7214960923265608,3.484648382264976e-06,-95.1253318711291,-82.0738440303665,-0.010922975204558438,-10.002299402389326,2.8246559780884506,13.498514346946948,2.799346138126314,33622.64002312559,2869.7299999999996,2871.1143712711914
33687.26,33687.27,33704.48,30837.37,91044.12525,2118323,-2.464704420777707,3.487832693814083e-06,20.503702945703377,-15.1120066374312,-0.00782130675294093,-6.837189987432794,0.6910057740624291,64.5033688315124,65.35553739272129,33666.50287458235,2867.110000000004,2870.6518506368857
33691.99,33691.99,33704.48,30837.37,91037.229342,2118342,-1.405231895885663,0.0,41.76351930923727,-11.004896246214102,-0.005097260932836124,-4.08289345412777,0.5265303704529898,66.33935484021058,76.77433776684894,33689.0218947081,2867.110000000004,2870.2600229046116
33650.61,33650.61,33660.66,30837.37,91041.01422,2118382,-2.604680458047369,0.0,-126.69430639227654,-24.44576405384145,-0.008228295513232725,-4.451316058053635,1.9684778707403823,42.96196218243571,31.186479387915682,33668.2631142228,2854.619999999999,2868.5950643481456
33637.45,33637.45,33655.41,30837.37,91044.545945,2118487,-3.869876433534955,0.0,-138.81530859865435,-25.75374440770597,-0.01167478829741256,-5.491449879555148,2.42705759775315,37.86915647147589,18.446095685040202,33648.585521398476,2818.0400000000045,2863.395352544396
33613.06,33613.07,33655.41,30837.37,91045.872394,2118561,-5.316262686843402,3.548565670479217e-06,-155.02189574798453,-31.650102963559952,-0.01573724969342995,-7.757765651767841,3.276614873176182,29.970891213147638,0.0,33622.606892843934,2818.0400000000045,2858.8725672143596
33593.52,33593.51,33655.41,30837.37,91041.701064,2118373,-6.763052302714641,-3.5485656678972953e-06,-160.86344135342017,-38.677321346821145,-0.019946945190903332,-10.659842221430154,3.8704479423531364,24.95911509130343,0.0,33598.21760591387,2818.0400000000045,2854.912811745623
33582.49,33582.48,33655.41,30837.37,91041.840955,2118438,-7.980873270218581,-3.5485656678972953e-06,-148.64640044629132,-36.856089826007825,-0.02368430928799196,-13.486958073823189,4.255155888682325,22.421926037691605,0.0,33581.380223548666,2818.0400000000045,2851.4261290032878
33583.73,33583.73,33655.41,30837.37,91037.702787,2118403,-8.703636260168423,0.0,-118.7574133159489,-30.805818517665646,-0.02620454581535811,-15.426918723722338,2.7248352099855193,23.479755697792285,1.1414482695644779,33576.9680734159,2818.0400000000045,2848.340519690124
33588.93,33588.93,33655.41,30837.37,91042.310922,2118352,-8.949387235021277,0.0,-93.64943205642456,-17.660962951547386,-0.02748857977641499,-16.396242868257104,2.359086457254088,28.356480365877275,5.889873070950048,33580.734338370676,2818.0400000000045,2845.597669773414
33580.01,33580.01,33655.41,30837.37,91048.075165,2118378,-9.205174506161711,0.0,-90.45678790420682,-23.12066643388204,-0.028776562960110105,-17.559626255286275,2.675618514996286,25.06787228906913,0.0,33577.661561178335,2818.0400000000045,2843.149843167844
33599.28,33599.29,33655.41,30837.37,91049.678294,2118494,-8.727968192702974,3.548565670479217e-06,-55.58111745669936,-14.751964294015801,-0.02808658290594806,-16.930499996247818,1.9914550538673166,42.39551590151978,17.217360242900106,33590.978844258054,2818.0400000000045,2840.957585015897
