symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,date,time
BTCUSDT,20.63000000,0.108,19246.00031042,19149.45000000,19170.08000000,0.12052500,19170.08000000,6.09298000,19170.09000000,0.00081400,19149.45000000,19570.00000000,19028.97000000,55234.56718800,1063044497.24634832,1607926703484,1608013103484,506656308,507641791,985484,12/15/20,00:18:23
BTCUSDT,21.07000000,0.110,19246.00060223,19149.45000000,19170.53000000,0.12021600,19170.53000000,0.35688600,19170.54000000,2.91991800,19149.46000000,19570.00000000,19028.97000000,55234.44397500,1063042142.00679303,1607926704446,1608013104446,506656314,507641796,985483,12/15/20,00:18:24
BTCUSDT,20.54000000,0.107,19246.00034685,19149.46000000,19170.00000000,0.10858300,19170.00000000,0.47396900,19170.01000000,5.72766900,19149.46000000,19570.00000000,19028.97000000,55234.63052300,1063045718.20396722,1607926705325,1608013105325,506656315,507641804,985490,12/15/20,00:18:25
BTCUSDT,20.00000000,0.104,19246.00005882,19149.99000000,19170.00000000,0.34946300,19170.00000000,0.23308900,19170.01000000,6.42828000,19150.00000000,19570.00000000,19028.97000000,55234.84644300,1063049857.89109494,1607926706526,1608013106526,506656319,507641808,985490,12/15/20,00:18:26
BTCUSDT,19.87000000,0.104,19245.99972548,19149.99000000,19169.87000000,0.00916500,19169.86000000,0.00231800,19169.87000000,5.60155300,19150.00000000,19570.00000000,19028.97000000,55235.08869700,1063054501.89908349,1607926707684,1608013107684,506656319,507641816,985498,12/15/20,00:18:27
BTCUSDT,17.43000000,0.091,19246.00124177,19151.30000000,19168.74000000,0.06294800,19168.74000000,1.88759200,19168.75000000,4.12974500,19151.31000000,19570.00000000,19028.97000000,55234.35962400,1063040553.91203563,1607926708644,1608013108644,506656329,507641834,985506,12/15/20,00:18:28
BTCUSDT,17.44000000,0.091,19246.00071799,19151.31000000,19168.74000000,0.15228500,19168.74000000,1.66787100,19168.75000000,4.07371100,19151.30000000,19570.00000000,19028.97000000,55234.73433600,1063047736.68867834,1607926709587,1608013109587,506656330,507641845,985516,12/15/20,00:18:29
BTCUSDT,17.45000000,0.091,19246.00005863,19151.30000000,19168.75000000,0.17976600,19168.74000000,0.80886100,19168.75000000,3.77717200,19151.30000000,19570.00000000,19028.97000000,55235.20747400,1063056806.28291833,1607926710548,1608013110548,506656331,507641858,985528,12/15/20,00:18:30
BTCUSDT,17.65000000,0.092,19245.99970260,19151.30000000,19168.65000000,0.00951200,19168.64000000,2.34837000,19168.65000000,4.37339600,19151.00000000,19570.00000000,19028.97000000,55235.46236400,1063061692.23049128,1607926711567,1608013111567,506656333,507641864,985532,12/15/20,00:18:31
BTCUSDT,17.64000000,0.092,19245.99942641,19151.30000000,19168.64000000,0.13644000,19168.64000000,0.45177800,19168.65000000,2.87358500,19151.00000000,19570.00000000,19028.97000000,55235.65956800,1063065472.36297996,1607926712646,1608013112646,506656333,507641869,985537,12/15/20,00:18:32
