symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,date,time
BTCUSDT,13.83000000,0.072,19246.11504739,19153.11000000,19166.94000000,0.04655700,19166.93000000,0.02000000,19166.94000000,4.65219600,19153.11000000,19570.00000000,19028.97000000,55369.44112200,1065646633.94357040,1607929783748,1608016183748,506680046,507669459,989414,12/15/20,01:09:43
BTCUSDT,13.95000000,0.073,19246.11510218,19152.98000000,19166.93000000,0.00100000,19166.93000000,0.12200000,19166.94000000,7.85263400,19152.98000000,19570.00000000,19028.97000000,55369.41081900,1065646053.76254527,1607929784724,1608016184724,506680050,507669464,989415,12/15/20,01:09:44
BTCUSDT,13.10000000,0.068,19246.11491932,19152.82000000,19165.92000000,0.00808600,19165.91000000,0.33396300,19165.92000000,5.39062000,19152.82000000,19570.00000000,19028.97000000,55369.54011200,1065648532.02571359,1607929785643,1608016185643,506680056,507669470,989415,12/15/20,01:09:45
BTCUSDT,13.28000000,0.069,19246.11400006,19152.45000000,19165.73000000,0.04813100,19165.72000000,0.01143100,19165.73000000,4.70572100,19152.45000000,19570.00000000,19028.97000000,55370.19483100,1065661081.92290248,1607929786696,1608016186696,506680072,507669487,989416,12/15/20,01:09:46
BTCUSDT,15.16000000,0.079,19246.11416864,19150.57000000,19165.73000000,0.11310200,19165.72000000,0.10900000,19165.73000000,6.98075000,19150.57000000,19570.00000000,19028.97000000,55370.10732700,1065659407.14517676,1607929787455,1608016187455,506680084,507669492,989409,12/15/20,01:09:47
BTCUSDT,14.25000000,0.074,19246.11372158,19150.57000000,19164.96000000,0.04134500,19164.95000000,2.24914500,19164.96000000,9.65149000,19150.71000000,19570.00000000,19028.97000000,55370.41428100,1065665290.06325182,1607929788610,1608016188610,506680086,507669506,989421,12/15/20,01:09:48
BTCUSDT,13.81000000,0.072,19246.11265130,19150.71000000,19164.52000000,0.01620000,19164.51000000,0.41282100,19164.52000000,7.24751000,19150.71000000,19570.00000000,19028.97000000,55371.15488900,1065679484.62637141,1607929789634,1608016189634,506680087,507669519,989433,12/15/20,01:09:49
BTCUSDT,13.81000000,0.072,19246.11144048,19150.71000000,19164.52000000,0.81631800,19164.51000000,6.06082100,19164.52000000,4.34194800,19150.71000000,19570.00000000,19028.97000000,55371.97720700,1065695244.00579477,1607929790632,1608016190632,506680090,507669530,989441,12/15/20,01:09:50
BTCUSDT,13.81000000,0.072,19246.11197182,19150.70000000,19164.52000000,0.81631800,19164.73000000,6.44697600,19164.74000000,0.01200000,19150.71000000,19570.00000000,19028.97000000,55371.66884800,1065689338.71506687,1607929791525,1608016191525,506680092,507669530,989439,12/15/20,01:09:51
BTCUSDT,13.81000000,0.072,19246.11075580,19150.71000000,19164.51000000,0.31398000,19164.52000000,0.01500000,19164.53000000,3.86829000,19150.70000000,19570.00000000,19028.97000000,55372.53885000,1065706015.53670188,1607929792577,1608016192577,506680094,507669550,989457,12/15/20,01:09:52
